5.42x,"rgb(145, 62, 248)",2024-07-25 14:52:19
7.86x,"rgb(145, 62, 248)",2024-07-25 14:52:19
14.14x,"rgb(192, 23, 180)",2024-07-25 14:52:19
2.90x,"rgb(145, 62, 248)",2024-07-25 14:52:19
1.07x,"rgb(52, 180, 255)",2024-07-25 14:53:20
6.41x,"rgb(145, 62, 248)",2024-07-25 14:53:20
1.21x,"rgb(52, 180, 255)",2024-07-25 14:53:20
1.18x,"rgb(52, 180, 255)",2024-07-25 14:53:20
1.11x,"rgb(52, 180, 255)",2024-07-25 14:53:20
1.28x,"rgb(52, 180, 255)",2024-07-25 14:53:20
2.76x,"rgb(145, 62, 248)",2024-07-25 14:53:21
1.36x,"rgb(52, 180, 255)",2024-07-25 14:53:21
7.60x,"rgb(145, 62, 248)",2024-07-25 14:53:51
1.76x,"rgb(52, 180, 255)",2024-07-25 14:53:51
1.29x,"rgb(52, 180, 255)",2024-07-25 14:53:51
1.51x,"rgb(52, 180, 255)",2024-07-25 14:53:51
1.87x,"rgb(52, 180, 255)",2024-07-25 14:53:52
1.51x,"rgb(52, 180, 255)",2024-07-25 14:53:52
1.29x,"rgb(52, 180, 255)",2024-07-25 14:53:53
4.91x,"rgb(145, 62, 248)",2024-07-25 14:54:23
6.86x,"rgb(145, 62, 248)",2024-07-25 14:54:23
1.73x,"rgb(52, 180, 255)",2024-07-25 14:54:23
5.09x,"rgb(145, 62, 248)",2024-07-25 14:54:23
2.38x,"rgb(145, 62, 248)",2024-07-25 14:54:23
1.38x,"rgb(52, 180, 255)",2024-07-25 14:54:23
78.87x,"rgb(192, 23, 180)",2024-07-25 14:54:24
1.00x,"rgb(52, 180, 255)",2024-07-25 14:54:54
1.02x,"rgb(52, 180, 255)",2024-07-25 14:54:54
2.00x,"rgb(145, 62, 248)",2024-07-25 14:54:54
2.08x,"rgb(145, 62, 248)",2024-07-25 14:54:54
3.70x,"rgb(145, 62, 248)",2024-07-25 14:54:54
1.55x,"rgb(52, 180, 255)",2024-07-25 14:54:55
3.35x,"rgb(145, 62, 248)",2024-07-25 14:54:55
2.73x,"rgb(145, 62, 248)",2024-07-25 14:56:25
1.45x,"rgb(52, 180, 255)",2024-07-25 14:56:25
1.42x,"rgb(52, 180, 255)",2024-07-25 14:56:25
5.03x,"rgb(145, 62, 248)",2024-07-25 14:56:25
1.20x,"rgb(52, 180, 255)",2024-07-25 14:56:25
1.30x,"rgb(52, 180, 255)",2024-07-25 14:56:26
1.10x,"rgb(52, 180, 255)",2024-07-25 14:56:26
2.63x,"rgb(145, 62, 248)",2024-07-25 14:56:26
1.44x,"rgb(52, 180, 255)",2024-07-25 14:56:26
8.71x,"rgb(145, 62, 248)",2024-07-25 14:56:26
1.42x,"rgb(52, 180, 255)",2024-07-25 14:56:26
5.47x,"rgb(145, 62, 248)",2024-07-25 14:57:26
1.14x,"rgb(52, 180, 255)",2024-07-25 14:57:26
43.35x,"rgb(192, 23, 180)",2024-07-25 14:57:26
1.60x,"rgb(52, 180, 255)",2024-07-25 14:57:26
9.99x,"rgb(145, 62, 248)",2024-07-25 14:57:27
1.53x,"rgb(52, 180, 255)",2024-07-25 14:57:27
2.67x,"rgb(145, 62, 248)",2024-07-25 14:57:27
1.04x,"rgb(52, 180, 255)",2024-07-25 14:57:27
1.66x,"rgb(52, 180, 255)",2024-07-25 14:57:27
14.98x,"rgb(192, 23, 180)",2024-07-25 14:57:27
3.25x,"rgb(145, 62, 248)",2024-07-25 14:57:27
4.96x,"rgb(145, 62, 248)",2024-07-25 14:57:57
1.50x,"rgb(52, 180, 255)",2024-07-25 14:57:57
5.42x,"rgb(145, 62, 248)",2024-07-25 14:57:57
7.86x,"rgb(145, 62, 248)",2024-07-25 14:57:57
2.46x,"rgb(145, 62, 248)",2024-07-25 14:57:57
1.19x,"rgb(52, 180, 255)",2024-07-25 14:57:58
14.14x,"rgb(192, 23, 180)",2024-07-25 14:57:58
2.90x,"rgb(145, 62, 248)",2024-07-25 14:57:58
2.76x,"rgb(145, 62, 248)",2024-07-25 14:57:58
1.36x,"rgb(52, 180, 255)",2024-07-25 14:57:58
1.87x,"rgb(52, 180, 255)",2024-07-25 14:58:58
1.21x,"rgb(52, 180, 255)",2024-07-25 14:58:59
1.07x,"rgb(52, 180, 255)",2024-07-25 14:58:59
131.68x,"rgb(192, 23, 180)",2024-07-25 14:58:59
1.95x,"rgb(52, 180, 255)",2024-07-25 14:58:59
7.60x,"rgb(145, 62, 248)",2024-07-25 14:59:59
1.76x,"rgb(52, 180, 255)",2024-07-25 14:59:59
1.29x,"rgb(52, 180, 255)",2024-07-25 14:59:59
1.51x,"rgb(52, 180, 255)",2024-07-25 14:59:59
1.51x,"rgb(52, 180, 255)",2024-07-25 15:00:00
1.29x,"rgb(52, 180, 255)",2024-07-25 15:00:00
78.87x,"rgb(192, 23, 180)",2024-07-25 15:00:00
2.60x,"rgb(145, 62, 248)",2024-07-25 15:00:00
1.43x,"rgb(52, 180, 255)",2024-07-25 15:00:00
4.91x,"rgb(145, 62, 248)",2024-07-25 15:01:31
6.86x,"rgb(145, 62, 248)",2024-07-25 15:01:31
1.73x,"rgb(52, 180, 255)",2024-07-25 15:01:31
5.09x,"rgb(145, 62, 248)",2024-07-25 15:01:31
2.38x,"rgb(145, 62, 248)",2024-07-25 15:01:31
1.38x,"rgb(52, 180, 255)",2024-07-25 15:01:31
3.70x,"rgb(145, 62, 248)",2024-07-25 15:01:31
1.55x,"rgb(52, 180, 255)",2024-07-25 15:01:32
3.35x,"rgb(145, 62, 248)",2024-07-25 15:01:32
4.97x,"rgb(145, 62, 248)",2024-07-25 15:01:32
1.16x,"rgb(52, 180, 255)",2024-07-25 15:01:32
1.03x,"rgb(52, 180, 255)",2024-07-25 15:01:32
5.73x,"rgb(145, 62, 248)",2024-07-25 15:01:32
